timestamp,q0,qx,qy,qz
1770837232235936768,0.999973,-0.004017,0.004024,-0.004612,1
1770837232335868416,0.999973,-0.004143,0.004031,-0.004592,1
1770837232435886592,0.999730,-0.013856,0.003839,0.018264,1
1770837232535835392,0.996235,-0.017201,0.003075,0.084912,1
1770837232635769600,0.986040,-0.001786,0.004633,0.166434,1
1770837232735788544,0.973796,-0.002192,0.004805,0.227361,1
1770837232835741184,0.959119,-0.001502,0.005131,0.282951,1
1770837232935685632,0.946182,-0.000983,0.005268,0.323592,1
1770837233035709696,0.926991,-0.001019,0.005369,0.375043,1
1770837233135645696,0.897266,-0.000546,0.005574,0.441454,1
1770837233335569920,0.809158,0.002130,0.006118,0.587556,1
1770837233435523072,0.774064,0.002203,0.006207,0.633073,1
1770837233535472640,0.744086,0.003356,0.007008,0.668039,1
1770837233635507200,0.729873,0.002649,0.006489,0.683547,1
1770837233735492352,0.720569,0.006682,0.010213,0.693276,1
1770837233835449088,0.718923,0.004520,0.008266,0.695026,1
1770837233935469824,0.717185,0.002076,0.006320,0.696851,1
1770837234035449344,0.712377,0.002246,0.006399,0.701764,1
1770837234135390976,0.699972,0.006520,0.010482,0.714063,1
1770837234235263232,0.682330,0.015444,0.019980,0.730608,1
1770837234335283968,0.669672,0.007024,0.011422,0.742536,1
1770837234435234304,0.666002,0.002661,0.006747,0.745915,1
1770837234535175424,0.665606,0.000562,0.005842,0.746280,1
1770837234635200768,0.691514,0.000729,0.006005,0.722338,1
1770837234735149568,0.734000,0.001600,0.006208,0.679119,1
1770837234835094784,0.778276,-0.001112,0.005033,0.627901,1
1770837234935119616,0.815071,0.002296,0.006414,0.579322,1
1770837235035079936,0.859930,0.004886,0.007626,0.510331,1
1770837235135031808,0.910081,0.006766,0.007532,0.414306,1
1770837235235056640,0.933760,-0.000647,0.004851,0.357866,1
1770837235335013376,0.941240,-0.001430,0.004761,0.337702,1
1770837235434958080,0.957916,-0.001898,0.004484,0.287008,1
1770837235534956032,0.984170,-0.010455,0.002715,0.176900,1
1770837235634937600,0.994668,-0.016556,0.002187,0.101772,1
1770837235734979072,0.995880,-0.014765,0.002549,0.089430,1
1770837235834940416,0.995121,-0.003875,0.003428,0.098525,1
1770837235934889984,0.995041,-0.005264,0.003319,0.099271,1
1770837236034868480,0.996796,-0.000699,0.002714,0.079938,1
1770837236234760960,0.995315,-0.001207,0.001163,-0.096670,1
1770837236334797312,0.979471,-0.002524,0.001077,-0.201565,1
1770837236434758912,0.955758,-0.001021,-0.001362,-0.294148,1
1770837236534712832,0.935032,-0.003820,0.000824,-0.354542,1
1770837236634639360,0.922503,-0.000325,-0.002443,-0.385983,1
1770837236734602496,0.917782,-0.001299,-0.002029,-0.397076,1
1770837244734577920,0.924585,0.380777,0.000669,0.012271,1
1770837244834539264,0.878468,0.477373,0.003749,0.019879,1
1770837244934569984,0.834356,0.550493,0.023950,0.015288,1
1770837245034530816,0.780341,0.623363,0.049839,-0.001554,1
1770837245134482176,0.742905,0.666754,0.056826,-0.017371,1
1770837245234513664,0.708055,0.702836,0.060029,-0.032787,1
1770837245334473984,0.699015,0.711703,0.019609,-0.066875,1
1770837245434425088,0.704110,0.706039,0.007653,-0.075363,1
1770837245534457088,0.717103,0.694366,0.030540,-0.051831,1
1770837245634433536,0.741416,0.669094,0.033359,-0.038762,1
1770837245734400512,0.781993,0.622284,0.029789,-0.019035,1
1770837245834437120,0.839545,0.542821,0.019940,0.010575,1
1770837245934414080,0.894763,0.445960,0.005908,0.021984,1
1770837246034360320,0.942992,0.327110,0.016939,0.058973,1
1770837246134241536,0.968661,0.229750,0.020188,0.092210,1
1770837246634115328,0.996597,-0.001491,-0.025038,0.078519,1
1770837250034139904,0.990777,0.002723,-0.024027,0.133328,1
1770837250134113024,0.992401,0.002326,-0.024157,0.120632,1
1770837250234064128,0.993446,0.002141,-0.024212,0.111686,1
1770837250334096384,0.993459,0.002144,-0.024203,0.111573,1
1770837250833820672,0.993258,0.002181,-0.024127,0.113367,1
1770837251133584128,0.993362,0.002156,-0.023878,0.112500,1
1770837251233622272,0.993423,0.002148,-0.023856,0.111968,1
1770837251333596160,0.993461,0.002116,-0.023890,0.111628,1
1770837252433572608,0.994853,0.000949,-0.024124,0.098415,1
1770837252533546240,0.995024,0.001401,-0.024044,0.096680,1
1770837252633509632,0.995190,0.001465,-0.024025,0.094961,1
