FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:timeInfo_deltaTime_estFilter,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:timeInfo_deltaTime_estFilter
02/20/26 19:48:17.707111936,0.01
02/20/26 19:48:17.717063936,0.01
02/20/26 19:48:17.727006208,0.01
02/20/26 19:48:17.736938496,0.01
02/20/26 19:48:17.746860800,0.01
02/20/26 19:48:17.756773632,0.01
02/20/26 19:48:17.766676736,0.01
02/20/26 19:48:17.776569856,0.01
02/20/26 19:48:17.786452992,0.01
02/20/26 19:48:17.796561664,0.01
02/20/26 19:48:17.806660608,0.01
02/20/26 19:48:17.816749312,0.01
02/20/26 19:48:17.826828032,0.01
02/20/26 19:48:17.836897024,0.01
02/20/26 19:48:17.846956032,0.01
02/20/26 19:48:17.857004544,0.01
02/20/26 19:48:17.867043072,0.01
02/20/26 19:48:17.877072128,0.01
02/20/26 19:48:17.887091200,0.01
02/20/26 19:48:17.897099776,0.01
02/20/26 19:48:17.907098368,0.01
02/20/26 19:48:17.917087232,0.01
02/20/26 19:48:17.927066624,0.01
02/20/26 19:48:17.937036032,0.01
02/20/26 19:48:17.946995712,0.01
02/20/26 19:48:17.956945152,0.01
02/20/26 19:48:17.966885376,0.01
02/20/26 19:48:17.976815360,0.01
02/20/26 19:48:17.986735616,0.01
02/20/26 19:48:17.996645632,0.01
02/20/26 19:48:18.006546176,0.01
02/20/26 19:48:18.016436992,0.01
02/20/26 19:48:18.026317824,0.01
02/20/26 19:48:18.036425472,0.01
02/20/26 19:48:18.046523392,0.01
02/20/26 19:48:18.056611072,0.01
02/20/26 19:48:18.066689024,0.01
02/20/26 19:48:18.076756736,0.01
02/20/26 19:48:18.086814720,0.01
02/20/26 19:48:18.096862464,0.01
02/20/26 19:48:18.106900480,0.01
02/20/26 19:48:18.116928256,0.01
02/20/26 19:48:18.126946560,0.01
02/20/26 19:48:18.136955136,0.01
02/20/26 19:48:18.146953472,0.01
02/20/26 19:48:18.156941824,0.01
02/20/26 19:48:18.166919936,0.01
02/20/26 19:48:18.176888576,0.01
02/20/26 19:48:18.186847232,0.01
02/20/26 19:48:18.196795904,0.01
02/20/26 19:48:18.206734592,0.01
