Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773411670094561280,-6.985586514929309e-05,1.264867114514345e-05,2.754936940618791e-05,-1.946062366187107e-05,-0.0001581647084094584,-0.0100368345156312
1773411670104497920,6.40430225757882e-05,-7.411351361952256e-06,7.637645467184484e-06,2.597041202534456e-05,0.0001127787618315779,-0.009882969781756401
1773411670114338048,-7.140002708183601e-06,3.393766121462249e-07,3.284889544374892e-06,5.378657533583464e-06,-6.689581823593471e-06,-0.009956768713891506
1773411670124081664,-7.963261850818526e-06,-2.127273546648212e-06,-3.31869205183466e-06,1.359165707981447e-06,-1.304581928707194e-05,-0.009967352263629436
1773411670133730304,6.201436008268502e-06,1.600119503564201e-06,3.216011691620224e-06,-1.462794216422481e-06,-2.91957549052313e-05,-0.009957877919077873
1773411670143955456,1.165705998573685e-05,-1.326618189523288e-06,2.063225792880985e-06,1.847079488470627e-06,-1.836411684053019e-05,-0.009955104440450668
1773411670154249728,-5.34449009137461e-06,-4.019565949420212e-06,4.952773451805115e-06,9.640985808800906e-06,5.212868018134031e-06,-0.009936623275279999
1773411670174518016,-5.322723154677078e-05,1.193381922348635e-05,6.82294830767205e-06,2.666309228516184e-05,8.755807357374579e-05,-0.00991896353662014
1773411670184524288,-4.48382634203881e-05,7.113982519513229e-06,2.999869820996537e-06,5.743251676904038e-06,-1.185550172522198e-05,-0.009950078092515469
1773411670194434816,-8.846271157381125e-06,3.404105200388585e-06,5.034068635723088e-06,2.643473408170394e-06,-2.782357114483602e-05,-0.009958572685718536
1773411670204252416,-1.313089160248637e-05,4.395887117425445e-06,1.298784013670229e-06,1.327726749877911e-06,-2.969816523545887e-05,-0.009955748915672302
1773411670213976832,-6.779419436497847e-06,-6.625838864238176e-07,4.963481842423789e-06,4.890478066954529e-07,-2.109676279360428e-05,-0.009975897148251534
1773411670223688960,7.082145657477668e-06,-9.946338650479447e-06,2.771077333818539e-06,2.389907194810803e-06,-2.278248211950995e-05,-0.009952588006854057
1773411670234043904,1.32051864056848e-05,3.282031286744314e-07,2.458554718032246e-06,2.63266269939777e-06,-2.341968138352968e-05,-0.009956435300409794
1773411670244301824,5.119431989442091e-06,-5.536567641684087e-06,-5.212409632804338e-07,4.61766262560559e-07,-2.377987402724102e-05,-0.009961883537471294
1773411670264519680,1.225782762048766e-05,-9.689253602118697e-06,9.836383469519205e-06,-4.225112206768245e-06,-2.746296195255127e-05,-0.009967480786144733
1773411670274494720,-7.86638065619627e-06,-4.739333689940395e-06,7.730086508672684e-06,5.372457962948829e-06,-2.528788536437787e-05,-0.009956277906894684
1773411670284376576,-1.816434632928576e-05,-2.630858034535777e-06,-7.602813525409147e-07,-1.147140096691146e-06,-1.688442171143834e-05,-0.009962928481400013
