Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773426551110757888,1.122906905948184e-05,9.111989129451104e-06,-0.009954430162906647
1773426551120689152,3.415080755075905e-06,-9.580430742062163e-06,-0.009968671016395092
1773426551131010048,7.418594236696663e-07,1.452341166441329e-05,-0.009950270876288414
1773426551141233152,6.155144546937663e-06,-1.033260559779592e-06,-0.009959998540580273
1773426551151358208,1.076242006092798e-05,1.748009162838571e-05,-0.009960977360606194
1773426551171319296,-1.759170845616609e-05,6.888401549076661e-05,-0.009952722117304802
1773426551181154560,-3.587697165130521e-06,7.012909009063151e-06,-0.00996621698141098
1773426551190898944,-4.464750418264885e-06,6.797012247261591e-06,-0.009966209530830383
1773426551200553216,-6.388268502632855e-06,8.73844328452833e-06,-0.009957686997950077
1773426551210769664,-2.897692638725857e-06,2.367037632211577e-05,-0.009942947886884212
1773426551221053184,5.530402631848119e-06,-4.345467004895909e-06,-0.009965687990188599
1773426551231243264,5.567452717514243e-06,3.96872792407521e-06,-0.009964334778487682
1773426551241337088,-4.724091468233382e-06,2.053105708910152e-05,-0.009957041591405869
1773426551251334912,-2.06101404387482e-07,1.748877184581943e-05,-0.009955138899385929
1773426551261236992,5.218016667640768e-06,1.939130561368074e-05,-0.009965282864868641
1773426551271044352,-8.957235877460334e-07,2.084646439470816e-05,-0.009952455759048462
1773426551280757248,-9.989167892854312e-07,1.068593974196119e-05,-0.009962491691112518
1773426551290541056,-1.579241029503464e-06,6.031911652826238e-06,-0.009958469308912754
1773426551300884736,2.976605173898861e-06,5.497820893651806e-06,-0.00996342021971941
1773426551311130368,-6.456576215896348e-07,1.524884100945201e-05,-0.009955534711480141
1773426551321283328,-1.406061755915289e-08,1.145834630733589e-06,-0.009963802993297577
1773426551331342592,2.977314466079406e-07,1.906186298583634e-05,-0.009959402494132519
1773426551341311232,3.894587280228734e-06,8.377638550882693e-06,-0.0099647156894207
1773426551351179008,-3.615552031988045e-06,2.288685936946422e-05,-0.009963273070752621
1773426551360953344,1.13522924038989e-06,9.041279554367065e-06,-0.009957741945981979
1773426551370633472,8.244192031270359e-06,8.833168067212682e-06,-0.009962432086467743
1773426551380710400,3.686698164528934e-06,3.539226327120559e-06,-0.009967478923499584
1773426551391018240,9.309915185440332e-06,8.719135621504392e-06,-0.009955133311450481
1773426551401229056,7.47431101899565e-07,1.022175638354383e-05,-0.009960656054317951
1773426551411340800,3.445378752076067e-06,1.289784722757759e-05,-0.009957362897694111
1773426551421357056,-1.437053697372903e-06,1.610539584362414e-05,-0.009962416253983974
1773426551431302656,6.680512342427392e-06,1.662327485973947e-05,-0.009960099123418331
1773426551441136640,4.404792889545206e-06,1.846659506554715e-05,-0.00995991937816143
1773426551450875648,5.726447852794081e-06,9.659195711719804e-06,-0.009961401112377644
1773426551460521472,8.015570529096294e-06,1.010531832434935e-06,-0.009958625771105289
1773426551470885632,1.993005525946501e-06,1.227578286489006e-05,-0.009965383447706699
1773426551481151744,6.018757176207146e-06,-2.816694541252218e-05,-0.009987129829823971
1773426551491319040,8.68691859068349e-06,3.305470454506576e-05,-0.009935665875673294
1773426551501392128,-4.716621788247721e-06,2.423002661089413e-05,-0.009943291544914246
1773426551511379200,-7.5997181738785e-06,2.064545515167993e-05,-0.009956143796443939
1773426551521281280,3.490058134048013e-06,1.515243911853759e-05,-0.009965306147933006
1773426551531076864,3.546801963238977e-09,2.190629675169475e-05,-0.009955417364835739
1773426551540779520,-3.804894674885873e-07,1.814435381675139e-05,-0.009955600835382938
1773426551550713344,9.710749964142451e-07,1.405041803081986e-05,-0.009959077462553978
1773426551561040384,2.180668730034085e-07,2.562720510468353e-05,-0.009944704361259937
