FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:timeInfo_deltaTime_ahrsImu,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagZ,Timeseries,200Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledMagX,inertial-6286.188861:scaledMagY,inertial-6286.188861:scaledMagZ
31.154613495,-3.477404243312776e-05,-0.005878147203475237,-0.9960183501243591,-2.472725782354246e-06,5.493006938195322e-06,-9.684154065325856e-07,3.911777923804038e-07,-3.137207022518851e-05,-0.004979837220162153,0.005,-0.3607913553714752,-0.0425730012357235,0.4013263881206512
31.159440994,-9.622423385735601e-05,-0.005887526553124189,-0.9963879585266113,-7.48522916182992e-06,-2.618496068862441e-07,3.20107892548549e-06,-5.897147730138386e-07,-2.995858812937513e-05,-0.004984550178050995,0.005,-0.3612986207008362,-0.04266361147165298,0.401682585477829
31.164247513,-0.0004640120605472475,-0.005785702727735043,-0.9959553480148315,6.43613338979776e-06,-2.430711219858495e-06,-1.706808461676701e-06,-4.457314389583189e-06,-2.812823186104652e-05,-0.004977364093065262,0.005,-0.3609864115715027,-0.04267102107405663,0.4019807875156403
31.169450760,-0.0004178504459559917,-0.005796786397695541,-0.9962501525878906,1.783854628456538e-07,1.843808263402025e-06,5.077922651253175e-07,-1.594611603650264e-06,-2.910530565713998e-05,-0.004982716403901577,0.005,-0.360674113035202,-0.04285125434398651,0.4019453227519989
31.174627304,-0.0005938630783930421,-0.005822039674967527,-0.9959090948104858,-5.557284112001071e-06,1.388347186548344e-06,-2.948389237644733e-06,-3.994141479779501e-06,-2.956153184641153e-05,-0.00497791962698102,0.005,-0.3608821928501129,-0.04260236769914627,0.4017796516418457
31.179780960,-0.0005758841289207339,-0.006017584819346666,-0.9957041144371033,-1.854000061030092e-06,1.302981331718911e-06,1.155771997218835e-06,-2.841923787855194e-06,-3.15102151944302e-05,-0.004976753145456314,0.005,-0.3606919050216675,-0.04273452609777451,0.4024582505226135
31.184907913,-0.0004810479877050966,-0.005649253260344267,-0.9956995248794556,-1.371140342598665e-06,4.48839682576363e-06,8.27602889330592e-07,-1.89454681276402e-06,-2.62759167526383e-05,-0.004978542681783438,0.005,-0.3605263233184814,-0.04266521707177162,0.4019591510295868
31.190013885,-0.0004326081834733486,-0.005518324673175812,-0.9952819347381592,-2.908320993810776e-06,5.981461526971543e-06,-1.245570160790521e-06,-1.89441209386132e-06,-2.663417035364546e-05,-0.004973531235009432,0.005,-0.3608852028846741,-0.04254555702209473,0.4012210071086884
31.195093155,-0.0004123425751458853,-0.005565915256738663,-0.9959560036659241,-7.254305728565669e-06,3.700008392115706e-06,-9.206452205035021e-07,-2.082331320707453e-06,-2.82586279354291e-05,-0.004984407685697079,0.005,-0.3615398406982422,-0.04206084087491035,0.4012074768543243
31.200147629,-0.0003991963458247483,-0.005298732314258814,-0.9956365823745728,-6.565167950611794e-06,3.723107056430308e-06,-1.745093300087319e-06,-1.800941959118063e-06,-2.490120459697209e-05,-0.00497603602707386,0.005,-0.3615314066410065,-0.04194642603397369,0.4028140902519226
