ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
5100495C00000000,FE9CA601,88DCC633,592D0000,12000000,4C000000,E9970000,A6110000,BDF5FFFF,7C190000,C20F0000
B400495C00000000,099DA601,9ADCC633,592D0000,12000000,4C000000,FA980000,AC110000,D2F5FFFF,96190000,D3100000
1801495C00000000,159DA601,ACDCC633,592D0000,12000000,4C000000,0F9A0000,B2110000,E7F5FFFF,AF190000,E8110000
7A01495C00000000,229DA601,BEDCC633,592D0000,12000000,4C000000,159B0000,B8110000,FCF5FFFF,C9190000,EE120000
E001495C00000000,309DA601,CFDCC633,592D0000,12000000,4C000000,FD9B0000,BE110000,11F6FFFF,E2190000,D6130000
4702495C00000000,3F9DA601,DFDCC633,592D0000,12000000,4C000000,CD9C0000,C3110000,26F6FFFF,FA190000,A6140000
AA02495C00000000,4E9DA601,EFDCC633,592D0000,12000000,4C000000,899D0000,C9110000,3CF6FFFF,131A0000,62150000
0C03495C00000000,5C9DA601,FEDCC633,592D0000,12000000,4C000000,279E0000,CE110000,50F6FFFF,2B1A0000,00160000
7203495C00000000,6B9DA601,0CDDC633,592D0000,12000000,4C000000,B19E0000,D3110000,63F6FFFF,431A0000,8A160000
D403495C00000000,799DA601,19DDC633,592D0000,12000000,4C000000,2C9F0000,D8110000,76F6FFFF,5A1A0000,05170000
3B04495C00000000,879DA601,25DDC633,592D0000,12000000,4C000000,8F9F0000,DC110000,88F6FFFF,711A0000,68170000
9F04495C00000000,949DA601,30DDC633,592D0000,12000000,4C000000,E49F0000,E0110000,98F6FFFF,881A0000,BD170000
0205495C00000000,A09DA601,3ADDC633,592D0000,12000000,4C000000,2CA00000,E4110000,A8F6FFFF,9E1A0000,05180000
6705495C00000000,AB9DA601,44DDC633,592D0000,12000000,4C000000,6BA00000,E8110000,B6F6FFFF,B41A0000,44180000
CA05495C00000000,B69DA601,4CDDC633,592D0000,12000000,4C000000,A5A00000,EB110000,C3F6FFFF,CB1A0000,7E180000
2E06495C00000000,C09DA601,54DDC633,592D0000,12000000,4C000000,D7A00000,EE110000,CFF6FFFF,E11A0000,B0180000
9306495C00000000,C99DA601,5BDDC633,592D0000,12000000,4C000000,03A10000,F1110000,DAF6FFFF,F61A0000,DC180000
